ticker,sector,date,open,high,low,close,volume,daily_return_pct,pct_change,ma_7,ma_30,ma_50,rsi,macd,volatility_10d,signal,next_day_return
TSLA,Automotive,2021-09-15,126.41,140.58,121.54,131.71,22412816,4.1927,4.70215,133.51,144.56,135.18,34.4,-6.73,11.5996,Sell,3.823
AMZN,E-Commerce,2021-10-01,4056.38,4092.13,4055.7,1237.6000000000001,65421655,0.2147,0.3411,1240.1075,3944.76,3929.16,56.16,20.84125,31.5054,Buy,-0.1176
TSLA,Automotive,2021-03-23,172.0,173.16,154.62,160.49,40572292,-4.3987125,-4.145,171.22,173.25,166.19,37.71,4.18,8.5283,Sell,-5.8069749999999996
JNJ,Healthcare,2021-04-09,173.63,173.95,173.61,173.75,33514380,0.0691,0.9353,170.56,166.08,162.68,61.96,1.5,3.017,Buy,0.3171
JNJ,Healthcare,2021-04-27,183.47,187.0,182.67,186.33,11361409,1.5588,1.9534,182.46,173.55,167.73,68.44,6.92,2.2229,Buy,1.3152
GOOGL,Technology,2021-03-05,3064.19,3085.08,2983.53,1237.6000000000001,59066464,-1.8015,-1.8245,1240.1075,3095.04,3008.99,55.3,-12.32,33.604,Sell,0.4042
GOOGL,Technology,2021-05-31,2424.41,2502.18,2414.25,1237.6000000000001,67214480,1.7493,1.0578,1240.1075,2595.72,2707.27,35.1,-19.588749999999997,47.9441375,Sell,-2.3205
GOOGL,Technology,2021-08-31,2622.62,2645.01,2610.13,1237.6000000000001,48059483,-0.2803,-1.014,1240.1075,2778.85,2776.7,55.44,-12.67,47.9441375,Sell,-0.8268
GOOGL,Technology,2021-03-26,2956.59,3010.4,2943.92,1237.6000000000001,27009377,1.727,1.5141,1240.1075,3022.05,3030.76,43.12,-19.588749999999997,47.9441375,Sell,-1.8043
MSFT,Technology,2021-07-08,277.67,283.2,275.05,282.86,52363299,1.8691,1.8728,279.15,281.25,279.7,33.89,1.45,6.8512,Sell,2.0425
TSLA,Automotive,2021-03-25,173.73,174.2,167.76,169.74,55119779,-2.2967,-1.3942,169.66,171.73,165.66,43.68,1.66,7.6913,Sell,-1.9065
JPM,Finance,2021-08-26,234.43,237.72,229.55,229.99,51158430,-1.894,-2.3853,230.19,219.85,204.37,56.27,4.98,4.9154,Buy,-2.0359
JPM,Finance,2021-03-29,135.96,140.55,134.72,140.0,52829846,2.9715,2.444,131.86,133.97,137.76,53.04,-2.32,4.7807,Sell,3.002
GOOGL,Technology,2021-10-13,2714.0,2727.83,2703.89,1237.6000000000001,68213135,0.1415,-0.0853,1240.1075,2682.02,2711.85,40.72,13.5,20.7191,Buy,0.6416
GOOGL,Technology,2021-10-22,2688.49,2694.18,2624.18,1237.6000000000001,56356260,-2.1194,-2.5764,1240.1075,2699.0,2702.58,42.03,4.22,40.3113,Buy,0.7818
AMZN,E-Commerce,2021-10-12,4026.04,4039.1,4009.12,1237.6000000000001,10327554,0.2037,0.9234,1240.1075,3985.57,3956.23,53.85,20.84125,34.5175,Buy,-5.8069749999999996
JPM,Finance,2021-06-24,164.75,172.59,162.82,170.75,44814652,3.6419,3.579,171.43,165.06,160.57,48.62,3.64,3.2498,Buy,3.1996
NFLX,Entertainment,2021-09-22,573.51,578.84,569.59,569.76,17549000,-0.6539,0.3505,557.2,544.22,525.93,58.97,6.76,10.2482,Buy,-2.652
JPM,Finance,2021-01-13,150.64,151.09,140.66,142.97,57803872,-4.3987125,-4.5594,153.28,142.97,142.97,54.17,0.0,0.01,Buy,-5.4937
AMZN,E-Commerce,2021-03-10,3125.6,3173.7,3093.82,1237.6000000000001,65066086,0.8782,0.683,1240.1075,3328.52,3153.05,46.21,-19.588749999999997,47.9441375,Sell,-5.8069749999999996
GOOGL,Technology,2021-03-08,3006.74,3052.11,2951.95,1237.6000000000001,77938426,-1.7215,-1.795,1240.1075,3092.72,2954.98,51.31,-19.588749999999997,47.9441375,Sell,2.6511
GOOGL,Technology,2021-08-12,2786.73,2836.01,2779.14,1237.6000000000001,23728335,1.6503,2.0418,1240.1075,2819.57,2737.1,67.08,-19.588749999999997,44.3495,Sell,2.8645
JNJ,Healthcare,2021-07-20,157.35,159.85,155.95,159.43,66932872,1.3219,0.8923,160.13,171.23,175.37,28.45,-6.94,4.1068,Hold,0.7976
TSLA,Automotive,2021-02-01,137.96,141.22,129.7,135.03,76377252,-2.1238,-0.3469,132.05,135.03,135.03,37.39,7.39,10.0558,Sell,-1.8784
AMZN,E-Commerce,2021-05-17,3068.8,3114.47,3051.78,1237.6000000000001,76688082,1.0362,1.4667,1240.1075,3120.2,3149.19,57.68,0.0,38.4864,Sell,3.9475
TSLA,Automotive,2021-07-26,125.59,130.82,121.26,124.77,9131386,-0.6529,-3.2115,128.47,99.09,92.07,37.01,19.21,5.8899,Buy,-0.6326
MSFT,Technology,2021-08-13,342.06,344.29,341.08,343.64,27597187,0.4619,0.1545,337.06,307.04,297.89,64.59,17.67,9.5308,Buy,0.4209
AAPL,Technology,2021-07-09,138.41,139.43,138.34,138.49,57755843,0.0578,0.7933,137.13,133.22,135.51,50.85,2.78,2.2098,Buy,0.3092
JPM,Finance,2021-04-29,157.74,159.21,155.25,157.01,31519217,-0.4628,-0.6266,155.94,146.94,141.51,65.07,3.94,3.4016,Buy,0.018
TSLA,Automotive,2021-05-17,83.61,85.63,74.97,76.98,67299667,-4.3987125,-4.73485,82.66,105.71,131.24,44.48,-14.23,6.7545,Sell,-5.8069749999999996
GOOGL,Technology,2021-08-23,2800.9,2844.87,2791.89,1237.6000000000001,40082917,0.5056,1.0507,1240.1075,2815.5,2766.55,70.02,0.35,26.4753,Sell,-4.6768
AMZN,E-Commerce,2021-06-03,3396.0,3407.8,3357.17,1237.6000000000001,27281338,-1.0412,-1.1271,1240.1075,3120.0,3141.86,66.17,20.84125,47.9441375,Buy,-2.9464
NFLX,Entertainment,2021-06-29,482.5,492.18,481.11,489.69,46032434,1.4902,0.3916,479.71,474.61,461.21,59.13,3.98,7.4296,Buy,0.5451
AAPL,Technology,2021-06-30,134.99,138.62,134.86,137.52,11572345,1.8742,2.1922,134.36,133.57,135.46,51.02,-0.82,2.7042,Buy,1.6524
AAPL,Technology,2021-04-06,152.26,154.61,150.91,151.97,49698533,-0.1905,-0.2691,151.65,152.87,154.81,58.97,-0.29,2.028,Sell,0.1066
TSLA,Automotive,2021-05-10,78.75,96.03,72.63,89.41,57411292,4.4427875,4.70215,89.64,117.85,140.2,47.66,-15.89,9.6568,Sell,5.763225
AAPL,Technology,2021-09-16,134.67,136.01,134.44,135.93,29321184,0.9356,-0.2349,140.84,144.86,143.96,43.05,-3.5,3.2835,Sell,1.0228
JPM,Finance,2021-08-12,223.58,226.29,222.14,223.44,41489787,-0.0626,0.5626,222.95,206.11,192.86,67.25,12.68,1.9968,Buy,0.1958
MSFT,Technology,2021-11-11,352.32,356.23,350.11,353.13,59767976,0.2299,0.1134,353.85,348.6,344.81,46.81,4.46,2.3618,Buy,0.7642
TSLA,Automotive,2021-03-30,183.86,188.06,166.08,168.68,49670127,-4.3987125,-4.73485,169.63,171.38,166.17,43.07,0.35,8.1921,Sell,-5.8069749999999996
AAPL,Technology,2021-02-11,156.46,156.54,153.67,156.41,31657920,-0.032,-0.4012,157.23,158.66,156.41,35.61,-0.81,2.6962,Sell,-0.1152
MSFT,Technology,2021-12-29,329.89,330.08,327.11,327.5,77802954,-0.7245,-0.4438,329.97,345.56,347.8,35.72,-9.59,5.3713,Sell,-0.3
GOOGL,Technology,2021-08-16,2796.43,2804.86,2790.03,1237.6000000000001,56936075,-0.0161,-0.5393,1240.1075,2821.94,2746.33,66.02,-19.588749999999997,46.3167,Sell,-4.1883
AAPL,Technology,,143.76,145.77,142.44,144.6,42270407,0.5843,0.8157,143.63,137.32,138.34,61.38,5.01,1.9305,Buy,0.6799
JNJ,Healthcare,2021-11-29,113.34,118.28,112.71,118.27,9390093,4.3497,3.9371,115.27,117.13,118.81,64.86,-0.6,2.4704,Sell,4.2905
JPM,Finance,2021-06-21,173.74,175.4,169.72,170.96,66759984,-1.6001,-2.152,172.46,163.35,159.56,47.52,5.68,2.4824,Buy,-1.331
JNJ,Healthcare,2021-10-06,122.31,122.57,120.98,121.34,21955201,-0.7931,-0.5654,123.67,130.27,137.64,39.53,-4.78,1.7125,Sell,-0.564
JNJ,Healthcare,2021-01-04,170.2,173.65,169.88,173.63,50112614,2.0153,2.34,173.63,173.63,173.63,67.73,0.0,0.01,Hold,1.5923
AAPL,Technology,2021-11-22,143.0,143.98,141.28,143.36,59822639,0.2517,1.1001,141.66,139.13,138.03,48.82,3.11,1.545,Buy,0.0369
AMZN,E-Commerce,2021-09-29,4069.3,4138.63,4065.87,1237.6000000000001,50796565,0.9545,0.5699,1240.1075,3934.42,3921.12,64.17,20.84125,44.3942,Buy,-3.1156
GOOGL,Technology,2021-11-29,2694.01,2722.36,2655.47,1237.6000000000001,1000,-1.3816,-1.0481,1240.1075,2695.87,2701.36,50.6,-19.588749999999997,28.5945,Sell,-0.0667
JPM,Finance,2021-11-22,257.44,259.54,252.67,253.51,71238054,-1.5266,-1.538,254.23,244.71,241.22,55.13,4.76,5.414,Buy,-1.297
MSFT,Technology,2021-01-26,312.16,314.18,310.17,311.96,46041025,-0.0641,-0.3673,311.53,311.96,311.96,66.09,-3.05,1.9109,Sell,0.2189
MSFT,Technology,2021-04-29,285.35,287.31,282.79,285.12,17064156,-0.0806,-0.61,288.22,300.85,300.55,42.26,-9.83,2.9962,Sell,0.5386
AAPL,Technology,2021-03-15,152.79,153.77,151.31,152.25,50788639,-0.3534,-0.1705,150.92,154.53,156.71,55.02,-1.92,1.8097,Sell,-0.246
AMZN,E-Commerce,2021-04-19,3190.41,3313.32,3142.71,1237.6000000000001,19393634,3.7158,3.9148,1240.1075,3193.84,3230.49,64.75,-19.588749999999997,46.0796,Buy,5.763225
GOOGL,Technology,2021-08-20,2761.07,2811.51,2730.76,1237.6000000000001,13526193,0.8953,0.4087,1240.1075,2819.62,2763.03,71.67,-11.58,26.3228,Sell,4.0771
NFLX,Entertainment,2021-11-22,527.88,533.27,524.36,525.47,10937105,-0.4565,-0.8902,537.19,548.2,554.64,58.26,0.0,10.631,Sell,-2.2539
TSLA,Automotive,2021-01-12,184.43,189.14,179.27,184.71,44367279,0.1518,-1.5353,195.44,184.71,184.71,37.16,0.0,0.01,Buy,1.2706
JPM,Finance,2021-07-27,209.19,213.94,207.91,213.39,47710778,2.0077,2.7395,207.06,187.38,178.62,50.7,11.51,6.1341,Buy,2.5379
GOOGL,Technology,2021-11-08,2761.24,2782.26,2750.16,1237.6000000000001,63751699,0.6439,0.8404,1240.1075,2711.3,2691.49,47.91,-3.63,32.35,Buy,0.3944
TSLA,Automotive,2021-06-25,80.27,80.69,70.9,72.15,13965480,-4.3987125,-4.73485,68.21,76.19,84.61,48.66,-9.22,11.1126,Sell,-5.8069749999999996
NFLX,Entertainment,2021-03-19,429.78,444.61,422.23,440.5,31673092,2.4943,4.0682,423.51,423.05,435.43,62.05,-1.03,8.3992,Buy,1.9513
MSFT,Technology,2021-08-19,349.42,354.97,347.99,354.31,43517570,1.3995,1.8893,345.07,316.1,302.96,62.85,18.87,6.8132,Buy,1.8419
GOOGL,Technology,2021-03-31,3047.74,3060.43,3039.01,1237.6000000000001,21750028,0.2047,0.3819,1240.1075,3009.4,3037.38,42.17,-19.588749999999997,47.9441375,Sell,5.3462
TSLA,Automotive,2021-12-17,106.81,114.12,100.82,110.77,28212221,3.7075,3.9411,110.94,109.29,107.67,37.05,2.8,3.9051,Buy,3.7742
MSFT,Technology,2021-01-15,309.84,313.49,304.21,308.59,66526630,-0.4034,-0.4741,302.38,308.59,308.59,50.49,0.0,7.6548,Sell,-0.6695
GOOGL,Technology,2021-07-28,2850.03,2867.88,2838.68,1237.6000000000001,27510176,0.3719,0.5179,1240.1075,2767.34,2675.2,57.78,20.84125,19.9104,Buy,0.4119
JNJ,Healthcare,2021-03-11,167.74,168.31,164.74,165.55,56983281,-1.3056,-1.046,162.83,158.92,161.39,44.44,1.09,3.9148,Buy,-0.9316
JPM,Finance,2021-03-31,142.17,146.15,138.58,145.04,1000,2.0187,1.3911,136.85,134.05,137.84,53.87,-0.21,6.6593,Buy,2.2875
TSLA,Automotive,2021-11-19,107.77,109.85,91.86,99.06,79196545,-4.3987125,-4.73485,97.41,102.7,110.52,40.65,-0.61,6.4133,Sell,-5.8069749999999996
MSFT,Technology,2021-10-11,344.23,345.1,341.05,341.19,36474033,-0.8831,-1.4016,344.9,340.46,340.47,55.84,1.13,4.1944,Buy,-0.6807
GOOGL,Technology,2021-11-11,2731.68,2773.87,2700.41,1237.6000000000001,47851204,1.0957,1.0539,1240.1075,2714.41,2698.33,43.62,10.74,33.8812,Buy,-1.1914
AAPL,Technology,2021-12-23,143.77,146.84,141.68,144.63,21010063,0.5982,1.3454,140.56,136.93,137.58,55.45,0.57,4.7774,Buy,0.9005
TSLA,Automotive,2021-01-13,185.01,190.52,181.74,186.56,75535822,0.8378,1.0016,193.24,186.56,186.56,57.86,0.0,0.01,Buy,0.2364
TSLA,Automotive,2021-06-30,96.86,101.31,96.71,101.18,47602316,4.4427875,4.70215,81.33,76.71,83.22,48.46,-3.65,14.5259,Buy,5.2702
NFLX,Entertainment,2021-01-26,445.55,447.67,444.89,445.97,15596525,0.0943,0.6591,454.07,445.97,445.97,35.56,20.84125,16.2006,Buy,-0.3356
TSLA,Automotive,2021-12-07,114.8,119.39,107.43,108.16,42661003,-4.3987125,-4.73485,122.18,107.6,107.73,44.71,9.37,6.8773,Buy,-5.8069749999999996
AAPL,Technology,2021-12-20,139.83,142.52,138.07,138.44,43611531,-0.9941,-1.0365,135.48,136.95,137.21,57.54,-2.12,3.5346,Sell,-1.1917
AMZN,E-Commerce,2021-10-19,3980.25,3983.37,3942.82,1237.6000000000001,74257125,-0.5741,-0.4578,1240.1075,4000.72,3961.35,39.08,-10.8,47.9441375,Sell,-2.116
GOOGL,Technology,2021-07-27,2871.24,2875.59,2831.2,1237.6000000000001,32780569,-0.8829,-0.4725,1240.1075,2759.69,2670.72,60.08,20.84125,26.3023,Buy,2.158
AAPL,Technology,2021-10-25,131.06,136.08,128.46,134.84,25858145,2.8842,2.6648,135.2,136.17,139.99,56.78,-0.14,2.5219,Sell,2.7209
AAPL,Technology,2021-12-03,133.12,134.2,131.19,132.24,62936740,-0.6611,-0.4367,133.56,138.77,137.68,36.52,-2.7,3.3497,Sell,-0.5571
AAPL,Technology,2021-05-21,135.18,141.62,134.87,141.26,69735954,4.4427875,4.3433,136.43,138.19,143.75,58.36,0.25,2.5936,Sell,4.1128
NFLX,Entertainment,2021-06-30,489.7,490.35,480.73,485.98,23715400,-0.7596,-0.7576,480.94,475.35,462.33,62.69,4.18,7.7208,Buy,-0.6737
TSLA,Automotive,2021-12-30,114.89,117.06,110.89,115.56,49798866,0.5832,-2.2004,120.14,115.45,109.5,62.95,-1.22,7.1867,Buy,0.1472
JPM,Finance,2021-03-15,126.51,131.59,126.18,131.48,69205302,3.9285,2.3988,129.48,137.4,141.63,41.06,-4.25,4.0043,Sell,3.5515
AMZN,E-Commerce,2021-05-31,3246.98,3347.23,3240.84,1237.6000000000001,34572953,2.3881,3.0987,1240.1075,3100.74,3136.77,72.3,20.84125,47.9441375,Hold,3.0347
GOOGL,Technology,2021-07-29,2852.48,2864.21,2778.84,1237.6000000000001,32500544,-1.7683,-2.0482,1240.1075,2772.55,2680.36,50.19,20.84125,22.3176,Buy,5.763225
AMZN,E-Commerce,2021-06-23,3504.24,3525.02,3417.57,1237.6000000000001,61616659,-2.4602,-1.9203,1240.1075,3274.04,3207.35,48.5,20.84125,27.4083,Buy,-4.9319
NFLX,Entertainment,2021-06-11,461.47,486.91,461.26,485.2,18631178,4.4427875,4.70215,469.66,464.62,451.16,49.78,1.97,8.4699,Buy,5.763225
JPM,Finance,2021-10-06,234.94,236.74,234.8,235.23,25645369,0.1234,-0.1104,240.23,232.86,229.82,61.29,4.39,3.0946,Buy,0.5958
JPM,Finance,2021-10-18,239.57,243.08,239.39,241.74,25956311,0.9058,0.9311,241.6,236.02,232.86,54.31,3.94,2.6996,Buy,0.6141
JPM,Finance,2021-10-14,241.45,243.09,238.59,242.2,13159386,0.3106,0.0951,241.16,235.28,232.08,55.23,4.86,2.7251,Buy,0.3464
MSFT,Technology,2021-05-25,278.15,279.27,272.66,257.31500000000005,42661003,-1.6142,-1.7767,276.17,283.8,292.16,51.82,-7.19,4.5214,Sell,-1.6456
AMZN,E-Commerce,2021-03-19,3237.66,3308.14,3219.23,1237.6000000000001,54526522,2.0468,2.3104,1240.1075,3267.1,3362.68,44.44,-19.588749999999997,47.9441375,Sell,4.0581
TSLA,Automotive,2021-02-25,154.51,163.73,150.18,156.52,45151646,1.3009,3.69,166.9,160.92,156.52,33.23,12.58,9.0334,Buy,-0.5915
JNJ,Healthcare,2021-06-29,170.14,171.47,168.36,169.22,16664899,-0.5407,-1.341,176.5,178.78,181.49,46.13,0.06,4.5306,Sell,-0.1156
JNJ,Healthcare,2021-02-10,161.07,161.47,156.95,157.31,62211939,-2.3344,-2.2616,160.62,157.31,157.31,43.79,-2.6,1.8552,Buy,-2.4932
GOOGL,Technology,2021-01-21,2919.47,2987.22,2918.42,1237.6000000000001,9072062,0.9779,0.9769,1240.1075,2948.02,2948.02,50.49,3.04,35.44,Buy,1.7604
AMZN,E-Commerce,2021-06-04,3337.25,3339.44,3202.95,1237.6000000000001,15181890,-3.1799,-3.8537,1240.1075,3123.51,3140.98,53.29,20.84125,47.9441375,Buy,-2.6357
TSLA,Automotive,2021-07-28,113.33,114.54,106.18,108.73,32809204,-4.0589,-4.73485,122.68,103.21,93.0,39.52,15.63,8.5885,Buy,-2.9124
JPM,Finance,2021-06-10,169.65,172.31,169.21,171.96,25601682,1.3616,1.04,167.96,159.04,156.46,57.3,6.75,2.5028,Buy,1.8116
AAPL,Technology,2021-06-18,130.22,131.68,127.77,128.39,36648764,-1.4053,-1.2688,128.61,134.36,136.09,53.12,0.0,2.971,Sell,-1.6694
JPM,Finance,2021-04-30,156.95,158.55,153.59,155.35,75763846,-1.0194,-1.0573,155.96,147.86,141.8,65.02,3.42,3.2055,Buy,-1.2792
AMZN,E-Commerce,2021-02-19,3306.88,3324.16,3264.65,1237.6000000000001,53522482,-0.433,-0.3794,1240.1075,3484.45,3292.56,36.79,-19.588749999999997,47.9441375,Sell,-3.695
TSLA,Automotive,2021-01-25,143.54,145.63,124.54,128.3,47290008,-4.3987125,-4.73485,150.73,128.3,128.3,33.8,20.84125,19.2201,Buy,-5.8069749999999996
AAPL,Technology,2021-03-22,154.43,156.94,154.1,156.41,55475584,1.2821,1.664,155.26,154.18,156.9,53.18,-0.55,3.0297,Buy,1.6932
AAPL,Technology,2021-12-14,129.97,133.24,129.07,131.96,12592285,1.5311,1.7346,131.5,137.58,137.11,52.59,-4.3,1.5343,Sell,1.0048
JPM,Finance,2021-03-18,124.92,129.41,123.06,128.44,64629327,2.8178,2.3834,127.92,135.8,139.75,43.13,-5.85,2.3758,Sell,3.0844
NFLX,Entertainment,2021-01-27,443.22,459.0,435.97,436.09,67414895,-1.6087,-2.2154,450.42,436.09,436.09,36.06,20.84125,14.7796,Buy,-2.0394
JPM,Finance,2021-10-07,236.19,244.16,233.44,242.9,21362980,2.8409,3.2606,240.16,233.3,230.31,66.86,5.62,2.8817,Buy,3.034
NFLX,Entertainment,2021-05-24,473.97,478.05,469.18,469.91,51712931,-0.8566,-1.8752,476.56,442.16,442.96,51.57,20.32,15.1922,Buy,-1.3122
TSLA,Automotive,2021-03-02,168.21,181.15,167.61,257.31500000000005,72792223,4.4427875,4.70215,164.97,161.44,178.23,31.3,3.79,8.3806,Buy,5.638
TSLA,Automotive,2021-09-22,125.64,127.22,123.82,126.67,16630936,0.8198,1.0128,128.47,144.38,136.79,40.72,-11.69,5.77,Sell,0.8079
MSFT,Technology,2021-05-12,269.98,272.18,262.23,266.33,59189930,-1.352,-1.5525,279.79,295.13,295.99,39.77,-9.34,7.5499,Sell,-2.0376
TSLA,Automotive,,158.94,159.09,146.02,147.21,42661003,-4.3987125,-4.73485,170.34,147.21,147.21,34.28,20.84125,17.5177,Buy,-5.8069749999999996
JNJ,Healthcare,2021-05-31,180.48,182.32,179.55,182.0,5003252,0.8422,0.6248,180.67,184.2,179.24,38.57,-1.46,2.736,Sell,1.1886
TSLA,Automotive,2021-11-25,120.43,123.67,108.08,113.08,67114200,-4.3987125,-4.73485,107.51,102.07,109.16,43.02,0.26,10.9353,Buy,-5.8069749999999996
GOOGL,Technology,2021-05-06,2617.22,2631.53,2591.41,1237.6000000000001,31614521,0.1112,-0.6047,1240.1075,2777.94,2856.38,42.21,-19.588749999999997,25.967,Sell,-0.7473
MSFT,Technology,2021-05-04,290.2,290.59,282.82,286.18,7052787,-1.3853,-1.1878,287.63,300.49,298.77,35.14,-11.46,1.6242,Sell,-1.6642
JNJ,Healthcare,2021-05-19,187.65,188.14,186.33,187.25,47200444,-0.2132,0.1926,188.02,183.42,176.99,43.11,2.7,1.098,Buy,-0.3025
JPM,Finance,2021-03-08,134.31,135.69,126.97,129.29,41141710,-3.7376,-3.7089,135.32,140.23,129.29,40.46,-2.34,3.0381,Sell,-3.4865
GOOGL,Technology,2021-11-09,2770.86,2773.23,2688.43,1237.6000000000001,59598401,-2.2073,-2.4944,1240.1075,2712.06,2693.38,43.74,2.48,31.9404,Buy,-1.3577
JNJ,Healthcare,2021-08-11,146.59,148.02,146.01,147.37,5627089,0.5321,1.1115,151.12,159.52,166.6,41.74,-4.73,3.5536,Sell,0.1175
NFLX,Entertainment,2021-11-29,508.28,509.93,505.1,1.0,6388284,0.1594,-0.7622,516.4,532.78,550.56,48.25,1.19,13.6484,Sell,1.8485
GOOGL,Technology,2021-11-12,2774.81,2775.04,2731.31,1237.6000000000001,44483781,-1.0707,-0.5978,1240.1075,2715.36,2700.91,45.29,9.26,34.3646,Buy,-3.6831
